LastName,FirstName,Number_of_people,Smoker,Trip_reason,Number_of_children
Dupont,Claire,2,False,Tourism,1
Martin,Julien,1,True,Business,0
Nguyen,Sophie,4,False,Other,2
Lemoine,Marc,3,True,Tourism,1
Durand,Elodie,2,False,Business,0
upont,Claire,2,False,Tourism,1
Martin,Julien,1,True,Business,0
Nguyen,Sophie,4,False,Other,2
Lemoine,Marc,3,True,Tourism,1
Durand,Elodie,2,False,Business,0
upont,Claire,2,False,Tourism,1
Martin,Julien,1,True,Business,0
Nguyen,Sophie,4,False,Other,2
Lemoine,Marc,3,True,Tourism,1
Durand,Elodie,2,False,Business,0
upont,Claire,2,False,Tourism,1
Martin,Julien,1,True,Business,0
Nguyen,Sophie,4,False,Other,2
Lemoine,Marc,3,True,Tourism,1
Durand,Elodie,2,False,Business,0
upont,Claire,2,False,Tourism,1
Martin,Julien,1,True,Business,0
Nguyen,Sophie,4,False,Other,2
Lemoine,Marc,3,True,Tourism,1
Durand,Elodie,2,False,Business,0
